"","NODCCODE","Commonname","183m seine","21.3m seine","273m nylon trammel net","366m monofilament trammel net","547m nylon trammel net","6.1m otter trawl","61m seine","9.1m seine","Hook and line","Offshore Purse Seine","Troph","Polar","Boreal","Temperate","Subtropical"
"92","8791031002","Spotted Hake",NA,7,NA,NA,NA,101.5,NA,NA,NA,NA,3.76666666666667,0,-1,-4,-2
"93","8791031007","Southern Hake",30,291.5,NA,NA,NA,2017.66666666667,NA,NA,NA,NA,NA,0,-1,-1,-2
"94","8792010401","Bearded Brotula",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,-1,-3
"95","8792010603","Bank Cusk-eel",4,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,0,-1,-1,-2
"96","8792010605","Crested Cusk-eel",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,-1,-1,-2
"97","8792010703","Sleeper Cusk-eel",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1,-2
"98","8792012301","Gold Brotula",NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,0,-1,-1,-2
"99","8792012401","Key Brotula",NA,5,NA,NA,NA,9,NA,NA,NA,NA,NA,0,-1,-1,-2
"100","8803010201","Ballyhoo",109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,0,-1,-2,-3
"101","8803010202","Balao",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.85,0,-1,-2,-3
"102","8803010301","Halfbeak",28.5,22.5,NA,1,NA,1,NA,NA,NA,NA,2,0,-2,-5,-4
"103","8803010399","False Silver Halfbeak",2363.5,1198,NA,NA,NA,2,NA,NA,NA,NA,NA,0,-1,-3,-1
"104","8803010401","Hardhead Halfbeak",53,181.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,-3,-4
"105","8803020201","Atlantic Needlefish",6559,1389.25,NA,11,NA,2,46,1,4,NA,3,0,-1,-4,-3
"106","8803020203","Timucu",300,1225.5,NA,1,NA,1,28.5,3,NA,NA,4.355,0,-1,-2,-3
"107","8803020302","Houndfish",403,10,NA,NA,NA,NA,NA,NA,NA,NA,4.445,0,-2,-4,-13
"108","8804040201","Marsh Killifish",NA,855.5,NA,NA,NA,1,NA,20,NA,NA,NA,0,-2,-3,-3
