"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"256","8835610402","Spotted Tilapia",NA,NA,95.5,NA,NA,NA,NA,0,-1,-2,-3
"257","8835610403","Blackchin Tilapia",NA,NA,7,152,NA,NA,2.02,0,-2,-4,-4
"258","8835614003","Nile Tilapia",NA,NA,NA,1,NA,NA,2.08,0,-1,-4,-8
"259","8835621233","Cocoa Damselfish",2,NA,1,NA,NA,NA,2.54,0,-1,-1,-2
"260","8835740101","Everglades Pygmy Sunfish",NA,NA,1,1,NA,NA,NA,0,-1,-1,-1
"261","8835740102","Okefenokee Pygmy Sunfish",NA,NA,NA,NA,NA,2,NA,0,-1,-1,-1
"262","8835740103","Banded Pygmy Sunfish",NA,NA,NA,NA,NA,2,NA,0,-1,-3,-1
"263","8835750202","Striped Bass",NA,NA,NA,NA,NA,17,4.033,0,-6,-13,-11
"264","8836010101","Striped Mullet",644,114.5,23092.367472994,40607.9199783766,1801.19646464646,56078.9880952381,2.78555555555556,0,-3,-24,-38
"265","8836010102","White Mullet",40,226.5,2502.51666666667,6833.49166666667,56.5,12681.6428571429,2.005,0,-3,-9,-6
"266","8836010105","Fantail Mullet",NA,45.5,8161.75978835979,11239.0324175824,207,1629.41666666667,NA,0,-2,-3,-4
"267","8837010102","Sennet",154.333333333333,NA,80,123,3,243.5,NA,0,-1,-3,-2
"268","8837010103","Guaguanche",5,NA,22,NA,NA,19,4.325,0,-1,-2,-2
"269","8837010104","Great Barracuda",28,1952.5,632.5,483,1,75.5,4.434,0,-2,-4,-11
"270","8838010101","Atlantic Threadfin",NA,NA,NA,NA,NA,1,NA,0,-1,-2,-2
"271","8839010702","Slippery Dick",219.5,NA,109.5,37.5,14,800,3.825,0,-1,-1,-2
"272","8839010802","Pearly Razorfish",8,NA,NA,NA,NA,1,3.56,0,-1,-1,-5
"273","8839010901","Hogfish",237.333333333333,NA,24,35,11,367.666666666667,4.03,0,-1,-2,-2
"274","8839030201","Bluelip Parrotfish",6,NA,NA,NA,NA,NA,NA,0,-1,-1,-2
"275","8839030403","Redtail Parrotfish",12.3333333333333,NA,NA,NA,NA,NA,2,0,-1,-1,-2
"276","8839030404","Bucktooth Parrotfish",38,NA,NA,NA,NA,7,2,0,-1,-1,-2
"277","8839030405","Redfin Parrotfish",NA,NA,NA,NA,NA,1,2,0,-1,-2,-2
"278","8840020299","Spotfin Jawfish",7,NA,5,1,NA,3,NA,0,-1,-1,-2
"279","8840130204","Speckled Stargazer",5,NA,NA,10.5,NA,2,NA,0,-1,-1,-2
"280","8840140102","Southern Stargazer",9,NA,28,37,1,189.5,4.2,0,-1,-1,-2
"281","8842010201","Feather Blenny",44,NA,123.5,188,1,383.5,NA,0,-1,-3,-2
"282","8842010202","Freckled Blenny",NA,NA,NA,NA,NA,3,NA,0,-1,-1,-2
"283","8842010302","Florida Blenny",376.166666666667,4,2617.83333333333,2352.66666666667,123,604.166666666667,2.94166666666667,0,-1,-1,-2
"284","8842010501","Crested Blenny",NA,NA,NA,3,NA,31,NA,0,-1,-1,-2
"285","8842010598","Zebratail Blenny",13,NA,55,97,3.5,138.5,NA,0,0,0,0
"286","8842011402","Highfin Blenny",NA,NA,6,7,NA,NA,NA,0,-1,-1,-2
"287","8842012501","Seaweed Blenny",6,NA,8,1,NA,63,NA,0,-1,-2,-2
"288","8842090503","Banded Blenny",574,23,NA,1,125.5,1007,NA,0,-1,-1,-2
"289","8842090506","Marbled Blenny",4,1,376,159.5,3,92,NA,0,-1,-1,-2
"290","8842090602","Checkered Blenny",NA,NA,NA,NA,NA,8,NA,0,-1,-1,-2
"291","8846010702","Spotted Dragonet",1,105.5,NA,6,NA,NA,NA,0,-1,-2,-2
"292","8847010501","Darter Goby",337.166666666667,NA,91,172.833333333333,3,8560,NA,0,-1,-2,-3
"293","8847010503","Highfin Goby",17.5,NA,8,15,NA,247,NA,0,-1,-2,-3
"294","8847010504","Freshwater Goby",15,NA,NA,NA,NA,13,NA,0,0,0,0
"295","8847010506","Marked Goby",NA,NA,NA,NA,NA,5,NA,0,-1,-1,-2
"296","8847010511","Emerald Goby",NA,NA,45,49.5,NA,NA,NA,0,-1,-1,-2
"297","8847010601","Naked Goby",34.5,18,1289.16666666667,3673.5,74.5,1801.33333333333,NA,0,-1,-2,-1
"298","8847010603","Code Goby",188,28,14763.1666666667,7255.45714285714,475.5,672,NA,0,-1,-1,-2
"299","8847010606","Twoscale Goby",3,NA,351,258.666666666667,1,134.5,NA,0,-1,-1,-2
"300","8847010701","Clown Goby",400.916666666667,5247.5,45541.3333333333,60016.1166666667,3390.16666666667,1786.5,2.37,0,-1,-2,-2
"301","8847010702","Green Goby",15,NA,445,1400.16666666667,8,3384,NA,0,-1,-2,-1
"302","8847010703","Seminole Goby",1,NA,NA,NA,NA,4,NA,0,-1,-1,-2
"303","8847010704","Banner Goby",NA,448,NA,NA,NA,NA,NA,0,-1,-1,-2
"304","8847010901","Notchtongue Goby",NA,NA,NA,1,NA,NA,NA,0,-1,-1,-2
"305","8847010903","Frillfin Goby",1,NA,405.5,544,2,313,NA,0,-1,-1,-4
"306","8847011801","Emerald Sleeper",NA,NA,NA,NA,NA,3,NA,0,-1,-1,-2
"307","8847012501","Crested Goby",NA,122.5,246,90.5,5,NA,NA,0,-1,-2,-3
"308","8847013302","Fat Sleeper",NA,NA,2,NA,NA,2,2.25,0,-2,-3,-4
"309","8847013708","Largescaled Spinycheek Sleeper",NA,NA,NA,NA,NA,3,4.03,0,-1,-2,-2
"310","8849010102","Doctorfish",2,NA,1,NA,NA,NA,2.09,0,-1,-2,-3
"311","8850020201","Atlantic Cutlassfish",5,NA,NA,NA,NA,33,4.2,0,-2,-10,-18
"312","8850030102","Little Tunny",NA,NA,NA,3,NA,NA,4.36333333333333,0,-1,-7,-4
"313","8850030502","Spanish Mackerel",26,NA,257,521.5,20,1071.5,4.50666666666667,0,-1,-3,-2
"314","8851020104","Spotted Driftfish",1,NA,NA,NA,NA,NA,NA,0,-1,-2,-1
"315","8851030104","Gulf Butterfish",4,NA,1,1,NA,1209,NA,0,-1,-1,-2
"316","8851030106","Harvestfish",2,NA,31,60.5,1,2561,4.5,0,-1,-3,-1
"317","8857030106","Horned Whiff",NA,NA,NA,2,NA,NA,NA,0,-1,-1,-1
"318","8857030109","Spotted Whiff",74,NA,773.5,285.5,1,2614.33333333333,NA,0,-1,-1,-2
"319","8857030110","Bay Whiff",32,NA,NA,NA,NA,2591,3.83,0,-1,-2,-1
"320","8857030201","Fringed Flounder",90.5,NA,2544.33333333333,553.5,9,31305.6166666667,3.49,0,-2,-2,-3
"321","8857030202","Smallmouth Flounder",15,NA,NA,NA,NA,107.5,NA,0,-1,-2,-2
"322","8857030204","Gray Flounder",NA,NA,NA,NA,NA,26,NA,0,-1,-1,-2
"323","8857030205","Shelf Flounder",13.5,NA,NA,NA,NA,327.166666666667,NA,0,-1,-1,-1
"324","8857030302","Gulf Flounder",1945.66666666667,NA,5029.16666666667,6142.91666666667,244,10518.5,NA,0,-1,-1,-2
"325","8857030304","Southern Flounder",10,NA,NA,NA,NA,1267,3.55,0,-1,-1,-2
"326","8857030306","Broad Flounder",NA,NA,NA,NA,NA,113,NA,0,-1,-1,-2
"327","8857030604","Twospot Flounder",3,NA,8,NA,NA,NA,NA,0,-1,-2,-1
"328","8857030801","Mexican Flounder",NA,NA,NA,NA,NA,1,NA,0,-1,-1,-1
"329","8857031301","Shoal Flounder",NA,NA,NA,NA,NA,2,NA,0,-1,-1,-2
"330","8857031303","Dusky Flounder",4,NA,8,NA,NA,7,3.59,0,-1,-1,-2
"331","8858020101","Blackcheek Tonguefish",113.5,2,3955.5,4792.83333333333,202.5,8497.66666666667,2.99,0,-1,-2,-1
"332","8858020102","Offshore Tonguefish",NA,NA,NA,NA,NA,31,NA,0,-1,-1,-2
"333","8858020106","Pygmy Tonguefish",NA,NA,NA,NA,NA,7,NA,0,-1,-1,-2
"334","8858030101","Hogchoker",145.5,28,38462.8333333333,19827.15,86.1666666666667,5632.16666666667,2.94,0,-1,-3,-2
"335","8858030102","Scrawled Sole",NA,1,NA,NA,NA,NA,NA,0,-1,-1,-2
"336","8858030202","Lined Sole",196,74,2981.66666666667,4446.61666666667,124.666666666667,445,3.52,0,-2,-3,-3
"337","8858030301","Naked Sole",NA,NA,2,1,NA,NA,NA,0,-1,-2,-2
"338","8858030303","Fringed Sole",NA,NA,1,NA,NA,NA,NA,0,-1,-1,-2
"339","8860020101","Orange Filefish",376,3,400,486,24,594,2.02,0,-1,-3,-3
"340","8860020104","Scrawled Filefish",NA,1,NA,1,NA,NA,2.81,0,-2,-5,-13
"341","8860020701","Fringed Filefish",5808,2,441.5,568.333333333333,444.166666666667,5120.83333333333,2.73,0,-2,-3,-2
"342","8860020703","Planehead Filefish",8506.16666666667,3,11039.5,10612,1300,12747.0833333333,2.9,0,-1,-3,-3
"343","8860020704","Pygmy Filefish",NA,NA,NA,5,NA,2,NA,0,-2,-2,-4
"344","8860030101","Trunkfish",7,5,27.5,35.5,NA,9,3.29,0,-1,-2,-3
"345","8860030201","Scrawled Cowfish",1085.66666666667,7,5119.5,9190.33333333333,276,1935,2.565,0,-1,-3,-4
"346","8860030202","Honeycomb Cowfish",NA,NA,NA,NA,NA,2,2.03,0,-1,-2,-2
"347","8861010101","Smooth Puffer",NA,NA,NA,NA,NA,3,NA,0,-1,-2,-3
"348","8861010201","Northern Puffer",NA,NA,1,NA,NA,NA,NA,0,-2,-4,-2
"349","8861010202","Checkered Puffer",NA,1,NA,NA,NA,NA,3.58,0,-2,-3,-3
"350","8861010208","Southern Puffer",1298.16666666667,90,12084.3333333333,9667.66666666667,621,4442.5,2.4,0,-1,-1,-2
"351","8861010210","Least Puffer",44,NA,NA,NA,NA,312.5,NA,0,-1,-1,-2
"352","8861010211","Bandtail Puffer",12,21,142.5,131,10,29,3.27,0,-1,-2,-3
"353","8861030101","Striped Burrfish",4184.16666666667,127.5,17574.8333333333,13020.1666666667,376,7133.83333333333,3.51,0,-1,-4,-2
"354","8861030201","Porcupinefish",1,NA,NA,NA,NA,NA,3.655,0,-2,-9,-14
"355","8861030202","Balloonfish",NA,NA,15,6,NA,NA,3.925,0,-2,-6,-11
