"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"48","8747010901","Dwarf Herring",NA,1017,NA,NA,NA,NA,3.22,0,-1,-1,-2
"49","8747010903","Shortband Herring",NA,283,NA,NA,NA,NA,NA,0,-1,-1,-2
"50","8747011001","Spanish Sardine",8.5,NA,1479.16666666667,8121.5,9,1414,3.2,0,-2,-6,-7
"51","8747020103","Silver Anchovy",2,NA,NA,1,NA,1,NA,0,-1,-2,-2
"52","8747020201","Striped Anchovy",319.166666666667,1,13064.4166666667,17939.1166666667,1033.66666666667,46150.1,3.40333333333333,0,-1,-4,-2
"53","8747020202","Bay Anchovy",6918.33333333333,2704.83333333333,549198.25,990800.123809524,19472.1666666667,565019.366666667,3.0925,0,-1,-3,-2
"54","8747020203","Cuban Anchovy",9,NA,NA,8858.41666666667,22.5,6836.6,NA,0,-1,-1,-2
"55","8747020204","Bigeye Anchovy",NA,2,NA,NA,NA,NA,NA,0,-1,-1,-2
"56","8747020205","Dusky Anchovy",165.666666666667,1,10,754.5,2,1756.41666666667,NA,0,-1,-1,-2
"57","8758010103","Chain Pickerel",2,NA,NA,NA,NA,1,NA,0,-1,-5,-2
"58","8762020101","Inshore Lizardfish",976.5,28,9893.33333333333,10582.1666666667,594.333333333333,7787,4.11142857142857,0,-1,-2,-2
"59","8762020301","Largescale Lizardfish",NA,NA,NA,NA,NA,1,NA,0,-1,-1,-3
"60","8776010101","Common Carp",NA,NA,NA,NA,NA,11.5,2.62916666666667,0,-7,-25,-34
"61","8776010601","Golden Shiner",NA,NA,2,8,NA,270.666666666667,2.83857142857143,0,-1,-5,-3
"62","8776011104","Ironcolor Shiner",NA,NA,NA,NA,NA,8.5,NA,0,-1,-5,-4
"63","8776011124","Weed Shiner",NA,NA,NA,NA,NA,18.5,NA,0,-1,-3,-2
"64","8776011178","Taillight Shiner",NA,NA,15,9,NA,2,NA,0,-1,-2,-2
"65","8776011185","Coastal Shiner",52,NA,57,140.5,1,1210.66666666667,NA,0,-1,-3,-2
"66","8776012301","Grass Carp",NA,NA,1,NA,NA,1,2,0,-2,-13,-18
"67","8776017621","Blacktail Shiner",NA,NA,NA,NA,NA,1,NA,0,-1,-3,-3
"68","8776040201","Quillback",NA,NA,NA,NA,NA,1,NA,0,-3,-4,-2
"69","8776040301","Lake Chubsucker",NA,NA,NA,NA,1,1,NA,0,-1,-4,-2
