"","NODCCODE","Commonname",">30","26-27","27-28","28-29","29-30","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"102","8804040301","Rainwater Killifish",18114,NA,11174,349357,74727,"Fundulidae","Actinopterygii","8804040301",NA,0,-2,-3,-3
"103","8804040302","Bluefin Killifish",360,8,118,696,7691,"Fundulidae","Actinopterygii","8804040302",NA,0,-1,-1,-1
"104","8804040401","Diamond Killifish",NA,NA,2,NA,NA,"Fundulidae","Actinopterygii","8804040401",NA,0,-2,-2,-3
"105","8804040501","Goldspotted Killifish",NA,1,869,73699,NA,"Cyprinodontidae","Actinopterygii","8804040501",3.51,0,-1,-1,-2
"106","8804040801","Flagfish",433,NA,25,9,115,"Cyprinodontidae","Actinopterygii","8804040801",NA,0,-1,-1,-1
"107","8804080116","Eastern Mosquito Fish",23915,165,19901,15322,36394,"Poeciliidae","Actinopterygii","8804080116",3.1,0,-2,-5,-6
"108","8804080201","Sailfin Molly",5164,6,1433,11578,6819,"Poeciliidae","Actinopterygii","8804080201",NA,0,-1,-2,-4
"109","8804080401","Least Killifish",115,NA,104,537,3326,"Poeciliidae","Actinopterygii","8804080401",NA,0,-1,-1,-1
"110","8805020201","Rough Silverside",7309,1,279,7928,369,"Atherinopsidae","Actinopterygii","8805020201",3.055,0,-1,-2,-2
"111","8805020302","Atlantic Silverside",170076,NA,6,NA,64,"Atherinopsidae","Actinopterygii","8805020302",3.19,0,-2,-4,-2
"112","8805020501","Hardhead Silverside",NA,1,NA,NA,NA,"Atherinidae","Actinopterygii","8805020501",3.31,0,-3,-4,-5
"113","8805020801","Brook Silverside",1415,20,3293,1512,1861,"Atherinopsidae","Actinopterygii","8805020801",3.05,0,-2,-4,-2
"114","8805021201","Reef Silverside",1,35,4,NA,NA,"Atherinidae","Actinopterygii","8805021201",NA,0,-2,-2,-3
"115","8819010101","Trumpetfish",NA,1,NA,NA,NA,"Aulostomidae","Actinopterygii","8819010101",4.26,0,-1,-1,-2
"116","8819020101","Bluespotted Cornetfish",NA,2,2,NA,NA,"Fistulariidae","Actinopterygii","8819020101",3.98,0,-1,-4,-3
"117","8820020102","Dusky Pipefish",14,1,1,NA,NA,"Syngnathidae","Actinopterygii","8820020102",3.47,0,-1,-1,-2
"118","8820020103","Northern Pipefish",43,NA,1,NA,NA,"Syngnathidae","Actinopterygii","8820020103",3.22,0,-2,-4,-2
"119","8820020104","Chain Pipefish",935,11,578,981,9,"Syngnathidae","Actinopterygii","8820020104",NA,0,-1,-1,-2
"120","8820020113","Gulf Pipefish",1428,22,6412,12304,920,"Syngnathidae","Actinopterygii","8820020113",3.34,0,-1,-1,-2
"121","8820020201","Lined Seahorse",25,4,139,258,NA,"Syngnathidae","Actinopterygii","8820020201",NA,0,-1,-4,-2
"122","8820020205","Dwarf Seahorse",NA,2,70,348,NA,"Syngnathidae","Actinopterygii","8820020205",NA,0,-1,-1,-2
"123","8820020601","Opposum Pipefish",21,12,184,18,2,"Syngnathidae","Actinopterygii","8820020601",NA,0,-2,-3,-6
"124","8826010605","Barbfish",1,3,12,NA,NA,"Scorpaenidae","Actinopterygii","8826010605",3.76,0,-1,-1,-2
"125","8826010609","Plumed Scorpionfish",3,22,90,1,NA,"Scorpaenidae","Actinopterygii","8826010609",3.89,0,-1,-1,-2
"126","8826010614","Spotted Scorpionfish",2,12,68,1,NA,"Scorpaenidae","Actinopterygii","8826010614",3.545,0,-1,-2,-2
"127","8826020101","Northern Searobin",121,NA,NA,NA,NA,"Triglidae","Actinopterygii","8826020101",3.72333333333333,0,-1,-4,-2
"128","8826020102","Striped Searobin",232,NA,NA,NA,NA,"Triglidae","Actinopterygii","8826020102",4.28,0,-1,-4,-2
"129","8826020103","Leopard Searobin",1000,3,84,358,3,"Triglidae","Actinopterygii","8826020103",3.39,0,-1,-1,-2
"130","8826020104","Bighead Searobin",2341,16,350,33,NA,"Triglidae","Actinopterygii","8826020104",NA,0,-1,-1,-2
"131","8826020118","Blackfin Searobin",15,1,2,NA,NA,"Triglidae","Actinopterygii","8826020118",NA,0,-1,-1,-2
"132","8835010102","Swordspine Snook",NA,NA,16,NA,NA,"Centropomidae","Actinopterygii","8835010102",3.61,0,-2,-3,-3
"133","8835010103","Fat Snook",NA,20,388,13,NA,"Centropomidae","Actinopterygii","8835010103",NA,0,-2,-3,-3
"134","8835010104","Tarpon Snook",NA,6,128,1,NA,"Centropomidae","Actinopterygii","8835010104",NA,0,-2,-3,-3
"135","8835010105","Common Snook",152,947,31369,2877,NA,"Centropomidae","Actinopterygii","8835010105",4.16666666666667,0,-2,-3,-4
"136","8835020301","Black Sea Bass",61,1,8,NA,NA,"Serranidae","Actinopterygii","8835020301",3.77166666666667,0,-1,-3,-2
"137","8835020305","Rock Sea Bass",619,NA,NA,NA,NA,"Serranidae","Actinopterygii","8835020305",NA,0,-1,-2,-2
"138","8835020401","Goliath Grouper",5,1,71,2,NA,"Serranidae","Actinopterygii","8835020401",3.93,0,-2,-2,-4
"139","8835020408","Red Grouper",NA,1,11,NA,NA,"Serranidae","Actinopterygii","8835020408",3.57,0,-1,-1,-2
"140","8835020501","Gag",18,17,325,1,NA,"Serranidae","Actinopterygii","8835020501",3.65,0,-1,-2,-2
"141","8835020502","Black Grouper",NA,2,26,NA,NA,"Serranidae","Actinopterygii","8835020502",4.365,0,-1,-2,-2
"142","8835021002","Sand Perch",6,3,5,NA,NA,"Serranidae","Actinopterygii","8835021002",4.045,0,-1,-2,-2
"143","8835021005","Dwarf Sand Perch",1,NA,1,NA,NA,"Serranidae","Actinopterygii","8835021005",NA,0,-1,-1,-2
"144","8835022201","Pygmy Sea Bass",1,NA,NA,NA,NA,"Serranidae","Actinopterygii","8835022201",NA,0,-1,-1,-2
"145","8835160402","Bluespotted Sunfish",7,3,NA,18,352,"Centrarchidae","Actinopterygii","8835160402",NA,0,-1,-2,-1
